"Table S2 Zricon composation of igneous rocks from diferent phases of the Guichon Greek batholith in the highland valley porphyry copper district, Canada",,,,,,,,,,,,,,,,,,,,,,,
Sample No.,Rock type,Zricon ID,Age,Ti,Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Y,Hf,Ce_zhong,Eu_zhong,Eu_Zhong/Y,Ce/Nd,(Ce/Nd)/Y
SM061,Salt & pepper Bethsaida,RLP1L7-4C,208.15,5.3,46.9,0.95,3.56,0.8,29.4,12.58,194.9,83,441,100.9,994,205.5,2801,11680,3532.036633,0.197309487,7.04E-05,49.36842105,0.017625284
SM061,Salt & pepper Bethsaida,RLP1L7-4D,208.15,2.2,46.03,0.78,3.38,0.67,26.1,11.35,161.6,68.14,350.7,80.3,776.5,162.5,2281,12450,3597.705553,0.192238688,8.43E-05,59.01282051,0.025871469
SM061,Salt & pepper Bethsaida,RLP1L7-5C,208.15,4.4,20.1,0.48,2.37,0.476,17.6,8.16,128,56.8,312,74.2,761,165.4,1966,11860,3558.777882,0.191227925,9.73E-05,41.875,0.021299593
SM061,Salt & pepper Bethsaida,RLP1L7-6C,208.15,1.9,46.4,0.54,2.79,0.536,22.6,9.44,137.8,56.3,287.9,64.7,628,130.6,1904,12070,5033.549861,0.193928656,0.000101853,85.92592593,0.045129163
SM061,Salt & pepper Bethsaida,RLP1L7-8C,208.15,3.2,67.6,1.69,6.44,1.33,47.9,19.55,290.2,117.2,596.3,131.6,1243,253.7,4230,11820,2109.780951,0.202453158,4.79E-05,40,0.009456265
SM061,Salt & pepper Bethsaida,RLP1L7-9C,208.15,3.2,38.2,1.27,3.07,0.59,24.7,10.68,161.9,68.7,363.6,84,833,176.7,2335,11730,2134.391086,0.15192293,6.51E-05,30.07874016,0.012881687
SM061,Salt & pepper Bethsaida,RLP1L7-10C,208.15,5.9,66.6,1.64,5.91,1.18,48.3,19.85,299,122.7,639,144.9,1379,287,4450,12410,2488.763136,0.180612717,4.06E-05,40.6097561,0.009125788
SM061,Salt & pepper Bethsaida,RLP1L7-11C,208.15,2.7,45.7,0.54,2.66,0.55,20.6,8.77,130.3,53.65,283.8,66.1,651.5,139.8,1796,12130,5500.206815,0.206517425,0.000114987,84.62962963,0.047121175
SM061,Salt & pepper Bethsaida,RLP1L7-12C,208.15,9.3,22.1,0.59,2.04,0.545,13.96,5.5,86.7,37,203.3,47.8,485,109.5,1279,11170,2559.818734,0.258513935,0.000202122,37.45762712,0.029286651
SM061,Salt & pepper Bethsaida,RLP1L7-13D,208.15,2.9,49.63,0.98,3.69,0.74,25.8,10.72,156.3,62.2,328.6,73.7,715,153.7,2099,12410,2767.055816,0.201251084,9.59E-05,50.64285714,0.024127135
SM061,Salt & pepper Bethsaida,RLP1L7-15C,208.15,4.2,62.1,1.28,4.71,1,34.2,14.3,212.4,86.7,452.6,103,982,209.1,2895,12170,2808.990879,0.205133594,7.09E-05,48.515625,0.01675842
SM061,Salt & pepper Bethsaida,RLP1L7-16C,208.15,7.8,98.3,6.6,12.4,2.42,66.7,22.37,302.3,113.3,549,118.5,1074,220.1,3830,12070,428.4959578,0.212246044,5.54E-05,14.89393939,0.003888757
SM061,Salt & pepper Bethsaida,RLP1L7-17C,208.15,3.4,33.7,0.86,3.4,0.71,24.5,10.46,160.7,69.6,376,88.4,867,190.7,2364,11660,2776.297473,0.199186497,8.43E-05,39.18604651,0.016576162
SM061,Salt & pepper Bethsaida,RLP1L7-19C,208.15,3.7,38.5,1.52,4.19,0.7,29.8,12.31,190.6,81.2,431.5,99.7,979,214.7,2717,12260,1668.933027,0.147780835,5.44E-05,25.32894737,0.009322395
SM061,Salt & pepper Bethsaida,RLP1L7-20C,208.15,3,34.69,0.85,2.24,0.53,19.2,7.8,125.1,55.08,296.1,71.3,707.1,154.9,1836,11630,3334.479189,0.184593613,0.000100541,40.81176471,0.02222863
SM061,Salt & pepper Bethsaida,RLP1L7-21C,208.15,6,69,1.48,5.5,1.41,42,16.1,235,97,489,108,1020,216,3300,11370,2393.781585,0.252620094,7.66E-05,46.62162162,0.014127764
SM061,Salt & pepper Bethsaida,RLP1L7-21D,208.15,4.9,54.2,1.08,3.48,0.79,27.1,10.89,156.3,66,338.7,78.5,754,159.5,2157,12380,2934.834528,0.207759057,9.63E-05,50.18518519,0.023266196
